Species Name ,Common Name,Sex,N,LogMean,   Mean ,S.D.,Min,Max,Season,             Location,    Source #,
Aptornis_defossor,South Island Adzebille,U,1,9.680344001,16000,,,,,,,
Aramus_guarauna,Limpkin,U,31,6.98471632,1080,110,900,1270,PB,"Florida, USA",847,
Anthropoides_paradiseus,Demoiselle Crane,B,10,7.790282381,2417,287,2100,3060,B,,586,
Anthropoides_virgo,Demoiselle Crane,B,10,7.790282381,2417,287,2100,3060,B,,586,
Balearica_pavonina ,Black Crowned-Crane,U,21,8.185907481,3590,,2725,4100,,,133,
Balearica_regulorum                               ,Gray Crowned-Crane,F,2,8.235360644,3772,,3575,3970,,,1244,
Grus_americana,Whooping Crane,U,3,8.670085938,5826,,5448,6356,,captive,314,
Grus_antigone_subsp._antigone,Sarus Crane,M,3,8.804925263,6667,,6500,6900,,"Queensland, Australia",746,
Grus_antigone_subsp._gillae,Sarus Crane,M,3,8.804925263,6667,,6500,6900,,"Queensland, Australia",746,
Grus_antigone_subsp._sharpii,Sarus Crane,M,3,8.804925263,6667,,6500,6900,,"Queensland, Australia",746,
Grus_antigone,Sarus Crane,M,3,8.804925263,6667,,6500,6900,,"Queensland, Australia",746,
Grus_canadensis_subsp._canadensis,Sandhill Crane,M,33,8.116715625,3350,22.3,2700,3700,W,"New Mexico, USA",314,
Grus_canadensis_subsp._pratensis                  ,Sandhill Crane,M,34,8.448914351,4670,340, , , , ,848,
Grus_canadensis_subsp._pulla                      ,Sandhill Crane,M,51,8.476371197,4800,390,,,,,1195,
Grus_canadensis_subsp._rowani,Sandhill Crane,M,51,8.476371197,4800,390,,,,,1195,
Grus_canadensis_subsp._tabida,Sandhill Crane,M,61,8.665095821,5797,31.5,5040,6700,W,"New Mexico, USA",314,
Grus_canadensis                                   ,Sandhill Crane,M,51,8.476371197,4800,390,,,,,1195,
Grus_carunculatus                                 ,Common Crane,U,16,8.612503371,5500,129,,,W,Spain ,950,
Grus_grus                                         ,Common Crane,U,16,8.612503371,5500,129,,,W,Spain ,950,
Grus_japonensis                                   ,Red-crowned Crane,U,14,9.080914825,8786,1200,,,,captive,489,
Grus_leucogeranus                                 ,Siberian Crane,M,8,8.762019954,6387,,5100,7400,B,,586,
Grus_monacha                                      ,Hooded Crane,M,7,8.276394705,3930,,3284,4870,,captive,586,
Grus_nigricollis,Black-necked Crane,F,1,8.699514748,6000,,,,,,586,
Grus_rubicunda,Brolga,M,321,8.83025057,6838,649,4761,8729,,northeast Australia,746,
Grus_vipio                                        ,White-naped Crane,U,3,8.447414297,4663,,,,,captive,972,
Heliopais_personatus,African Finfoot,U,4,6.395261598,599,,338,879,,,1244,
Heliornis_fulica                                  ,Sungrebe,B,12,4.882801923,132, ,,,,Panama; Suriname,"489, 498, 861", 
Podica_senegalensis                               ,African Finfoot,U,4,6.395261598,599,,338,879,,,1244,
Psophia_crepitans,Gray-winged Trumpeter,B,14,6.933423026,1026,,790,1100,,French Guiana; Suriname,"293, 498, 1308", 
Psophia_leucoptera                                ,Pale-winged Trumpeter,M,7,7.228388452,1378,,1280,1440,,Peru,1094,
Psophia_viridis,Dark-winged Trumpeter,F,1,6.97634807,1071,,,,,Brazil,1105,
Amaurolimnas_concolor,Uniform Crake,M,1,4.890349128,133,,,,,Brazil ,1202,
Amaurornis_olivacea,Plain Bush-hen,B,4,5.676753802,292,,250,312,,Philippines,954,
Amaurornis_phoenicurus_subsp._phoenicurus,White-breasted Waterhen,B ,12,5.192956851,180,,158,196,,Philippines; Malaysia; China,"954, 983, 1088, 1287", 
Amaurornis_phoenicurus                            ,White-breasted Waterhen,B ,12,5.192956851,180,,158,196,,Philippines; Malaysia; China,"954, 983, 1088, 1287", 
Anurolimnas_castaneiceps                          ,Chestnut-headed Crake,F,1,4.836281907,126,,,,,,1198,
Anurolimnas_viridis                               ,Russet-crowned Crake,M,5,4.094344562,60,,55,63,,Suriname,498,
Aramides_axillaris,Rufous-necked Wood-Rail,M,4,5.676753802,292,,262,327,,Honduras; Mexico; Suriname,"498, 1143",
Aramides_cajanea,Gray-necked Wood-Rail,B,18,5.983936281,397,,,,,Panama,489,
Aramides_ypecaha,Giant Wood-Rail,M,3,6.602587892,737,,655,860,, ,1198,
Aramidopsis_plateni,Little Wood-Rail,F,2,5.209486153,183,,164,202,,Brazil,1205,
Canirallus_beankaensis                            ,Gray-throated Rail,B,3,5.624017506,277,,273,279,,,1198,
Canirallus_kioloides_subsp._berliozi,Madagascar Wood-Rail,U,4,5.505331536,246,,172,280,,Madagascar ,"68, 957",
Canirallus_kioloides_subsp._kioloides,Madagascar Wood-Rail,U,4,5.505331536,246,,172,280,,Madagascar ,"68, 957",
Coturnicops_exquisitus,Yellow Rail,B,71,4.109233175,60.9,3.5,53,70,B,"Quebec, Canada",998,
Coturnicops_noveboracensis ,Yellow Rail,B,71,4.109233175,60.9,3.5,53,70,B,"Quebec, Canada",998,
Crex_crex                                         ,Corn Crake,M,28,5.129898715,169,18.7,135,202,B,Netherlands,223,
Eulabeornis_castaneoventris                       ,Chestnut Rail,M,5,6.6147256,746,,626,910,,Western Australia,1198,
Fulica_alai                                       ,American Coot,M,27,6.584791392,724,,576,848,F,,383,
Fulica_americana                                  ,American Coot,M,27,6.584791392,724,,576,848,F,,383,
Fulica_ardesiaca                                  ,Slate-colored Coot,U,5,6.895682698,988,,900,1100,,Chile,1198,
