generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-3.13789,-578.905,20,1
5000,0,-3.11659,-449.293,0.395044,0.326
10000,0,-3.60344,-446.919,3.97351,0.1798
15000,1,-5.17,-446.576,1.27539,0.252516
20000,0,-3.08401,-448.144,0.148665,0.2852
25000,0,-3.44279,-446.943,0.45222,0.220991
30000,0,-3.12297,-447.695,0.293394,0.2352
35000,0,-3.13551,-448.4,0.540809,0.2562
40000,0,-3.78331,-447.008,0.0294778,0.254667
45000,0,-4.20826,-447.366,0.160973,0.1985
50000,0,-4.3199,-448.163,2.13138,0.2016
55000,0,-3.65761,-446.748,1.28779,0.2218
60000,0,-4.34381,-451.889,1.21874,0.21448
65000,0,-3.51673,-449.327,1.83453,0.2772
70000,0,-4.47687,-448.943,0.517033,0.253667
75000,0,-3.8137,-447.141,0.379379,0.1848
80000,0,-3.11736,-447.894,0.668885,0.289
85000,0,-3.33145,-447.607,1.10752,0.2168
90000,0,-3.11755,-448.122,0.101453,0.2057
95000,0,-3.20995,-448.511,4.74299,0.304
100000,0,-3.52825,-446.866,1.04151,0.266067
105000,0,-3.66985,-447.791,0.0738696,0.2044
110000,0,-4.34813,-448.252,0.072946,0.1884
115000,0,-2.96776,-452.791,0.25413,0.213914
120000,0,-3.71648,-447.813,1.14551,0.1876
125000,0,-3.37251,-447.13,0.130084,0.2096
130000,1,-3.69699,-448.721,0.289796,0.2075
135000,0,-3.21155,-447.971,0.590051,0.214533
140000,0,-2.86456,-449.642,0.0865765,0.2426
145000,0,-3.40822,-446.962,0.240829,0.2021
150000,1,-4.86424,-445.077,1.8374,0.2857
155000,0,-3.11336,-448.303,0.518208,0.2007
160000,0,-3.17692,-447.924,0.192826,0.2044
165000,0,-3.23115,-449.85,1.94052,0.2838
170000,3,-4.0665,-433.483,2.34221,0.5074
175000,2,-3.66231,-436.702,4.1251,0.37406
180000,6,-6.61156,-432.651,5.83253,0.5037
185000,0,-2.73933,-450.706,1.38862,0.271909
190000,2,-4.76159,-438.495,2.54839,0.481733
195000,0,-3.90925,-448.155,0.742898,0.2746
200000,0,-4.11389,-447.553,0.0209417,0.408
205000,6,-8.32607,-427.374,6.81848,0.51148
210000,0,-3.95752,-448.053,0.305298,0.183
215000,7,-11.2125,-425.953,5.83089,0.5069
220000,0,-3.34601,-448.697,1.93137,0.219055
225000,0,-3.4134,-447.817,2.66301,0.234733
230000,0,-3.54034,-448.214,0.834187,0.2001
235000,0,-3.31681,-447.164,0.619748,0.1834
240000,4,-8.09037,-426.708,2.80771,0.51672
245000,0,-2.69113,-451.189,2.22877,0.2024
250000,0,-3.34938,-447.424,1.7001,0.2138
255000,0,-2.75579,-449.14,0.226314,0.210833
260000,6,-5.96356,-422.648,7.30577,0.5073
265000,3,-8.22752,-438.63,4.34629,0.5256
270000,0,-2.87353,-452.128,0.34334,0.204173
275000,0,-4.33655,-448.351,0.609242,0.24475
280000,9,-13.1444,-430.739,12.6458,0.5244
285000,0,-2.87388,-448.688,0.0273109,0.215333
290000,7,-10.6991,-423.798,7.75795,0.5219
295000,7,-14.129,-419.699,7.8737,0.5264
300000,0,-3.92,-448.503,0.289614,0.22664
305000,0,-3.90814,-446.768,0.462141,0.203
310000,1,-4.35033,-450.395,0.693565,0.229314
315000,0,-3.91082,-447.003,0.722057,0.2101
320000,0,-3.11624,-449.47,0.379801,0.1919
325000,0,-3.16721,-447.773,0.0586192,0.21575
330000,0,-2.79478,-449.171,0.614442,0.205133
335000,4,-6.63366,-433.613,10.3836,0.516975
340000,3,-2.73734,-429.655,1.52987,0.5156
345000,0,-3.71453,-446.785,0.677559,0.2046
350000,5,-5.60092,-424.799,7.92969,0.4952
355000,8,-8.94626,-422.041,3.61386,0.5548
360000,0,-3.60265,-447.043,0.357106,0.19845
365000,5,-7.34334,-433.417,5.88982,0.5387
370000,0,-3.48456,-446.916,1.67246,0.18884
375000,0,-3.13941,-450.12,2.13818,0.196867
380000,0,-2.92346,-448.968,0.0219832,0.23
385000,4,-3.3539,-431.06,6.69009,0.49945
390000,0,-3.68992,-447.475,1.29292,0.26715
395000,0,-3.87159,-446.797,1.06435,0.260867
400000,0,-3.68145,-447.397,0.0811318,0.1758
405000,3,-4.18451,-428.456,6.76033,0.51465
410000,5,-2.61488,-428.637,2.73101,0.487
415000,0,-3.94399,-448.477,1.38422,0.21936
420000,0,-3.74323,-447.893,0.977154,0.2281
425000,0,-3.64573,-446.85,1.8925,0.2065
430000,0,-3.33647,-447.478,0.155193,0.219457
435000,0,-3.34886,-448.271,1.08375,0.1912
440000,0,-4.04097,-447.933,0.433135,0.19815
445000,0,-4.07713,-447.52,1.73809,0.2038
450000,0,-4.31113,-448.152,2.28538,0.23035
455000,0,-3.40376,-448.817,1.88419,0.1792
460000,0,-3.33678,-447.787,0.246609,0.39748
465000,1,-7.36829,-442.912,2.06807,0.21544
470000,1,-6.36722,-446.195,0.776444,0.196
475000,0,-3.61922,-446.693,1.20925,0.22815
480000,1,-3.06825,-449.176,1.9712,0.233629
485000,0,-3.05248,-448.186,0.942592,0.1956
490000,0,-3.85062,-446.881,0.43786,0.1936
495000,0,-3.48676,-446.882,1.08315,0.1826
500000,0,-4.34694,-448.809,2.09818,0.22964
505000,0,-3.20986,-449.314,0.56561,0.20685
510000,0,-3.79116,-446.937,1.68091,0.1976
515000,0,-4.43745,-447.81,2.66021,0.202267
520000,0,-4.0353,-447.347,0.959205,0.197067
525000,0,-4.61433,-450.125,0.0944071,0.21875
530000,0,-4.13759,-449.541,0.341478,0.1736
535000,3,-6.76876,-445.006,5.27402,0.1928
540000,0,-3.30093,-449.708,0.176162,0.2605
545000,0,-3.03299,-448.499,0.56798,0.2308
550000,0,-3.63012,-447.493,0.0373257,0.211067
555000,4,-3.30995,-436.194,6.20414,0.30245
560000,0,-3.6759,-446.783,2.39636,0.1922
565000,2,-2.87492,-441.006,5.73109,0.4819
570000,0,-3.49194,-447.28,0.0628218,0.3628
575000,0,-3.16976,-448.15,1.50101,0.182
580000,0,-2.39797,-451.084,0.221882,0.212
585000,0,-3.19408,-448.083,0.0301476,0.21048
590000,0,-3.11472,-448.605,0.397127,0.1844
595000,0,-4.1903,-449.18,0.529471,0.215533
600000,0,-2.81904,-450.463,0.268153,0.227467
605000,0,-3.91602,-447.059,1.19887,0.207267
610000,0,-3.83359,-447.774,0.717475,0.2004
615000,0,-2.89248,-450.112,1.08462,0.202867
620000,0,-3.41145,-447.491,2.55354,0.1908
625000,0,-3.87602,-447.924,0.453621,0.2124
630000,0,-4.18722,-447.319,0.189803,0.196
635000,0,-3.91057,-448.105,0.560812,0.202033
640000,0,-3.31618,-448.549,1.30958,0.1998
645000,0,-4.90103,-452.916,0.46724,0.1888
650000,0,-4.07351,-448.039,0.0243037,0.1998
655000,0,-3.74021,-448.118,0.166644,0.257
