generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Afrotis_afraoides,Sarothrura_elegans,0,0.032,0,0.00272794,0
5000,Afrotis_afraoides,Sarothrura_elegans,0,0.263902,-0.0112808,0.0780711,0
10000,Afrotis_afraoides,Sarothrura_elegans,0,0.620811,-0.0460533,0.265886,0
15000,Afrotis_afraoides,Sarothrura_elegans,0,0.592769,-0.0686292,0.180251,0
20000,Afrotis_afraoides,Sarothrura_elegans,0,0.893473,-0.0688844,0.298696,0
25000,Afrotis_afraoides,Sarothrura_elegans,0,0.932779,-0.0707581,0.342046,0
30000,Afrotis_afraoides,Sarothrura_elegans,0,0.92536,-0.0718886,0.306811,0
35000,Afrotis_afraoides,Sarothrura_elegans,0,0.630573,-0.0654577,0.23281,0
40000,Afrotis_afraoides,Sarothrura_elegans,0,0.66615,-0.0549006,0.242511,0
45000,Afrotis_afraoides,Sarothrura_elegans,0,0.832439,-0.0520846,0.354772,0
50000,Afrotis_afraoides,Sarothrura_elegans,0,0.770133,-0.0621467,0.283792,0
55000,Afrotis_afraoides,Sarothrura_elegans,0,0.768517,-0.0564452,0.276818,0
60000,Afrotis_afraoides,Sarothrura_elegans,0,0.499575,-0.047863,0.183597,0
65000,Afrotis_afraoides,Sarothrura_elegans,0,0.680385,-0.0474418,0.291866,0
70000,Afrotis_afraoides,Sarothrura_elegans,0,0.695703,-0.0603329,0.231624,0
75000,Afrotis_afraoides,Sarothrura_elegans,0,1.01319,-0.0693067,0.36051,0
80000,Afrotis_afraoides,Sarothrura_elegans,0,0.630258,-0.0480143,0.269776,0
85000,Afrotis_afraoides,Sarothrura_elegans,0,0.880863,-0.0750023,0.288566,0
90000,Afrotis_afraoides,Sarothrura_elegans,0,0.738966,-0.0683148,0.213549,0
95000,Afrotis_afraoides,Sarothrura_elegans,0,0.704263,-0.0498669,0.306443,0
100000,Afrotis_afraoides,Sarothrura_elegans,0,0.706706,-0.055067,0.269235,0
105000,Afrotis_afraoides,Sarothrura_elegans,0,0.261636,-0.0525448,0.0139349,0
105000,Gallinula_chloropus,Fulica_rufifrons,11.9363,0.344533,0.000359783,0.0836145,0
105000,Nesoclopeus_woodfordi_subsp._immaculatus,Gallirallus_ripleyi,16.3327,1.1421,-0.0028748,0.670065,0
110000,Afrotis_afraoides,Sarothrura_elegans,0,0.543548,-0.0729415,0.118223,0
110000,Gallinula_chloropus,Fulica_rufifrons,11.9471,0.429224,0.0426714,0.101338,0
110000,Gallirallus_australis_subsp._greyi,Gallirallus_modestus,8.98326,0.584606,-0.0478398,0.0354332,0
115000,Afrotis_afraoides,Sarothrura_elegans,0,0.620287,-0.0849341,0.144138,0
115000,Eupodotis_vigorsii,Tetrax_tetrax,18.1102,3.02601,-0.00614549,1.16715,0
115000,Gallinula_chloropus,Fulica_rufifrons,12.754,0.364317,0.0798548,0.299348,0
115000,Rallus_limicola,Gallirallus_australis_subsp._greyi,3.05565,0.463409,-0.0324253,0.0659195,0
120000,Afrotis_afraoides,Sarothrura_elegans,0,0.880055,-0.0624751,0.369374,0
125000,Afrotis_afraoides,Sarothrura_elegans,0,1.01532,-0.0692244,0.38743,0
130000,Afrotis_afraoides,Sarothrura_elegans,0,0.597148,-0.0500488,0.205896,0
135000,Afrotis_afraoides,Sarothrura_elegans,0,0.885369,-0.0661299,0.315422,0
140000,Afrotis_afraoides,Sarothrura_elegans,0,0.578179,-0.0622846,0.191075,0
145000,Afrotis_afraoides,Sarothrura_elegans,0,0.678357,-0.0592943,0.235787,0
150000,Afrotis_afraoides,Sarothrura_elegans,0,0.623105,-0.0548633,0.206554,0
155000,Afrotis_afraoides,Sarothrura_elegans,0,1.06592,-0.0811815,0.315033,0
160000,Afrotis_afraoides,Sarothrura_elegans,0,0.713983,-0.0646056,0.219537,0
165000,Afrotis_afraoides,Sarothrura_elegans,0,0.439404,-0.0544084,0.136489,0
170000,Afrotis_afraoides,Sarothrura_elegans,0,0.706186,-0.059324,0.261601,0
175000,Afrotis_afraoides,Sarothrura_elegans,0,0.386073,-0.0363676,0.124314,0
180000,Afrotis_afraoides,Sarothrura_elegans,0,0.844576,-0.0664402,0.232722,0
185000,Afrotis_afraoides,Sarothrura_elegans,0,0.484322,-0.0466124,0.18385,0
190000,Afrotis_afraoides,Sarothrura_elegans,0,0.625879,-0.0530668,0.220647,0
195000,Afrotis_afraoides,Sarothrura_elegans,0,1.00652,-0.0754351,0.348289,0
200000,Afrotis_afraoides,Sarothrura_elegans,0,1.1627,-0.0767945,0.417069,0
205000,Afrotis_afraoides,Sarothrura_elegans,0,0.809257,-0.0716171,0.229066,0
210000,Afrotis_afraoides,Sarothrura_elegans,0,0.743432,-0.059479,0.226254,0
215000,Afrotis_afraoides,Sarothrura_elegans,0,0.602664,-0.0578829,0.240924,0
220000,Afrotis_afraoides,Sarothrura_elegans,0,0.929958,-0.0595543,0.377484,0
225000,Afrotis_afraoides,Sarothrura_elegans,0,0.858217,-0.0683179,0.314242,0
230000,Afrotis_afraoides,Sarothrura_elegans,0,0.845754,-0.063253,0.340739,0
235000,Afrotis_afraoides,Sarothrura_elegans,0,0.640946,-0.0476879,0.271266,0
240000,Afrotis_afraoides,Sarothrura_elegans,0,0.587395,-0.0563277,0.195438,0
245000,Afrotis_afraoides,Sarothrura_elegans,0,0.750523,-0.0627563,0.238691,0
250000,Afrotis_afraoides,Sarothrura_elegans,0,0.824745,-0.0618017,0.296199,0
255000,Afrotis_afraoides,Sarothrura_elegans,0,0.704327,-0.0650774,0.211748,0
260000,Afrotis_afraoides,Sarothrura_elegans,0,0.851862,-0.0718515,0.251438,0
265000,Afrotis_afraoides,Sarothrura_elegans,0,0.888271,-0.0652829,0.350529,0
270000,Afrotis_afraoides,Sarothrura_elegans,0,0.970569,-0.0618661,0.365417,0
275000,Afrotis_afraoides,Sarothrura_elegans,0,0.54854,-0.0582199,0.205751,0
280000,Afrotis_afraoides,Sarothrura_elegans,0,0.869479,-0.0663432,0.289582,0
285000,Afrotis_afraoides,Sarothrura_elegans,0,0.414772,-0.0471519,0.152851,0
290000,Afrotis_afraoides,Sarothrura_elegans,0,0.426471,-0.0379858,0.142753,0
295000,Afrotis_afraoides,Sarothrura_elegans,0,0.365587,-0.0365489,0.123286,0
300000,Afrotis_afraoides,Sarothrura_elegans,0,0.9049,-0.0503818,0.410279,0
305000,Afrotis_afraoides,Sarothrura_elegans,0,0.613977,-0.0581478,0.209284,0
310000,Afrotis_afraoides,Sarothrura_elegans,0,0.515717,-0.048349,0.175629,0
315000,Afrotis_afraoides,Sarothrura_elegans,0,0.31689,-0.0288401,0.102648,0
320000,Afrotis_afraoides,Sarothrura_elegans,0,0.627223,-0.0519789,0.23946,0
325000,Afrotis_afraoides,Sarothrura_elegans,0,0.803712,-0.0530957,0.346428,0
330000,Afrotis_afraoides,Sarothrura_elegans,0,0.787778,-0.0618709,0.282008,0
335000,Afrotis_afraoides,Sarothrura_elegans,0,0.501115,-0.0672331,0.113394,0
340000,Afrotis_afraoides,Sarothrura_elegans,0,1.15321,-0.067767,0.433299,0
